epoch,train_loss,internal_validation_loss
1,1.0150670338557515,0.9966736459537314
2,1.0046597420164483,0.9884540318329944
3,0.9941522768222851,0.9724406060705107
4,0.9743310489238524,0.942088298313537
5,0.943536912259042,0.9046987553878036
6,0.9146730757253076,0.8750662941359584
7,0.8919190242055652,0.8527390652526357
8,0.8772878730109732,0.8409360569722455
9,0.8683438724152953,0.8335766617586899
10,0.8617705476995734,0.8275729815767972
11,0.8555784487144303,0.8216566995673029
12,0.8516040643447848,0.816526636359572
13,0.8471476353175091,0.8121656437042575
14,0.8430866709641694,0.8083890067793803
15,0.8393781475026774,0.8054661515435093
16,0.8367895515876858,0.8024088376461417
17,0.834176724286883,0.8001408700904045
18,0.8317107331165975,0.7981761240347125
19,0.8296298571064287,0.7961499444384001
20,0.8283753369388642,0.7944823398055941
21,0.8265067127873971,0.7928644377959929
22,0.8244709531835107,0.7912444966537672
23,0.8238064028383371,0.7901497676742536
24,0.8216659285182608,0.7888418397241324
25,0.8209643318133827,0.7877347209350648
26,0.8205443960210892,0.7867251831842553
27,0.8198154441572904,0.7861180464751245
28,0.8179680287909091,0.785277496947708
29,0.8174420362705078,0.7844982107712202
30,0.8165384986148446,0.7839991565485123
31,0.8162827854198789,0.7834357023378237
32,0.815230535897571,0.782688420795365
33,0.8146293513340428,0.782381854048966
34,0.8142126723037999,0.7818136388668518
35,0.8147114388112539,0.7813934801339825
36,0.8137024183961896,0.7811053701710117
37,0.8132937940993963,0.7807176179062388
38,0.8123854233198464,0.780438817409818
39,0.8120740317965675,0.7800343940666982
40,0.8117504607463094,0.7796727071008716
41,0.8108124313367353,0.7792633495225094
42,0.8108385695610509,0.778892108481573
43,0.8108982480260506,0.778521900179784
44,0.8108879123815419,0.778571651988992
45,0.8105492233222151,0.7782477940533793
46,0.8097538356093662,0.7778760682743656
47,0.8104339859669767,0.7777411435977442
48,0.8097429369623665,0.77760901281408
49,0.8086543329258332,0.7774123042300256
50,0.8092557788204371,0.7772650431028743
